Tick,Throttle,Speed,Current,Voltage,Speed
20,0, 0, 0, 0, 5682
77,0, 0, 0, 0, 5682
219,0, 0, 0, 0, 5682
269,0, 0, 0, 0, 5682
319,0, 0, 0, 0, 5682
369,0, 0, 0, 0, 5682
422,0, 0, 0, 0, 5682
472,0, 0, 0, 0, 5682
522,0, 0, 0, 0, 5682
572,0, 0, 0, 0, 5682
622,0, 0, 0, 0, 5682
674,0, 0, 0, 0, 5682
724,0, 0, 0, 0, 5682
774,0, 0, 0, 0, 5682
824,0, 0, 0, 0, 5682
874,0, 0, 0, 0, 5682
926,0, 0, 0, 0, 5682
976,0, 0, 0, 0, 5682
1026,0, 0, 0, 0, 5682
1076,0, 0, 0, 0, 5682
1126,0, 0, 0, 0, 5682
1178,0, 0, 0, 0, 5682
1228,0, 0, 0, 0, 5682
1279,0, 0, 0, 0, 5682
1329,0, 0, 0, 0, 5682
1379,0, 0, 0, 0, 5682
1431,0, 0, 0, 0, 5682
1481,0, 0, 0, 0, 5682
1531,0, 0, 0, 0, 5682
1581,0, 0, 0, 0, 5682
1631,0, 0, 0, 0, 5682
1683,0, 0, 0, 0, 5682
1733,0, 0, 0, 0, 5682
1783,0, 0, 0, 0, 5682
1833,0, 0, 0, 0, 5682
1883,0, 0, 0, 0, 5682
1937,0, 0, 0, 0, 5682
1987,0, 0, 0, 0, 5682
2037,0, 0, 0, 0, 5682
2087,0, 0, 0, 0, 5682
2137,0, 0, 0, 0, 5682
2189,0, 0, 0, 0, 5682
2239,0, 0, 0, 0, 5682
2289,0, 0, 0, 0, 5682
2339,0, 0, 0, 0, 5682
2389,0, 0, 0, 0, 5682
2443,0, 0, 0, 0, 5682
2493,0, 0, 0, 0, 5682
2543,0, 0, 0, 0, 5682
2593,0, 0, 0, 0, 5682
2643,0, 0, 0, 0, 5682
2695,0, 0, 0, 0, 5682
2745,0, 0, 0, 0, 5682
2795,0, 0, 0, 0, 5682
2845,0, 0, 0, 0, 5682
2895,0, 0, 0, 0, 5682
2947,0, 0, 0, 0, 5682
2997,0, 0, 0, 0, 5682
3047,0, 0, 0, 0, 5682
3097,0, 0, 0, 0, 5682
3147,0, 0, 0, 0, 5682
3199,0, 0, 0, 0, 5682
3249,0, 0, 0, 0, 5682
3299,0, 0, 0, 0, 5682
3349,0, 0, 0, 0, 5682
3399,0, 0, 0, 0, 5682
3451,0, 0, 0, 0, 5682
3501,0, 0, 0, 0, 5682
3551,0, 0, 0, 0, 5682
3602,0, 0, 0, 0, 5682
3652,0, 0, 0, 0, 5682
3704,0, 0, 0, 0, 5682
3754,0, 0, 0, 0, 5682
3804,0, 0, 0, 0, 5682
3854,0, 0, 0, 0, 5682
3904,0, 0, 0, 0, 5682
3956,0, 0, 0, 0, 5682
4006,0, 0, 0, 0, 5682
4056,0, 0, 0, 0, 5682
4106,0, 0, 0, 0, 5682
4156,0, 0, 0, 0, 5682
4208,0, 0, 0, 0, 5682
4258,0, 0, 0, 0, 5682
4308,0, 0, 0, 0, 5682
4358,0, 0, 0, 0, 5682
4408,0, 0, 0, 0, 5682
4460,0, 0, 0, 0, 5682
4510,0, 0, 0, 0, 5682
4560,0, 0, 0, 0, 5682
4713,0, 0, 0, 0, 5682
4763,0, 0, 0, 0, 5682
4815,0, 0, 0, 0, 5682
4865,0, 0, 0, 0, 5682
4916,0, 0, 0, 0, 5682
4966,0, 0, 0, 0, 5682
5016,0, 0, 0, 0, 5682
5068,0, 0, 0, 0, 5682
5118,0, 0, 0, 0, 5682
5168,0, 0, 0, 0, 5682
5218,0, 0, 0, 0, 5682
5268,0, 0, 0, 0, 5682
